Letter,Thumb,Index,Middle,Ring,Pinky
A,0.003,0.911,0.992,1,1
A,0.03,0.992,1,0.92,1
A,0.007,1,1,1,0.997
A,0.083,1,0.991,1,0.951
A,0.077,1,1,0.932,0.955
A,0,1,1,0.928,1
A,0,0.973,0.944,0.971,1
A,0.071,1,1,1,0.976
A,0,1,0.995,1,1
A,0,0.916,1,0.91,0.975
B,0.919,0,0.076,0,0.088
B,0.901,0.06,0.043,0,0
B,1,0,0.079,0,0.076
B,0.903,0,0,0,0.07
B,0.99,0,0,0.086,0
B,0.963,0,0.07,0.005,0
B,0.928,0,0.091,0,0
B,0.976,0,0,0,0
B,0.964,0,0,0.082,0
B,1,0,0.086,0.037,0.008
C,0,0.524,0.543,0.444,0.467
C,0,0.566,0.517,0.501,0.571
C,0,0.58,0.494,0.503,0.5
C,0,0.498,0.582,0.452,0.572
C,0.091,0.59,0.541,0.446,0.429
C,0.015,0.428,0.526,0.57,0.414
C,0.016,0.461,0.576,0.491,0.475
C,0,0.405,0.498,0.482,0.49
C,0.01,0.501,0.481,0.486,0.516
C,0.011,0.487,0.564,0.504,0.546
D,0.095,0,0.486,0.574,0.432
D,0,0,0.581,0.428,0.548
D,0.051,0.014,0.553,0.447,0.557
D,0.091,0,0.409,0.561,0.408
D,0.005,0,0.411,0.496,0.473
D,0,0,0.534,0.448,0.413
D,0,0.098,0.439,0.476,0.531
D,0,0.097,0.469,0.588,0.597
D,0.043,0.081,0.443,0.594,0.503
D,0.099,0.037,0.472,0.448,0.584
E,0.976,1,1,1,1
E,0.966,1,0.983,1,0.932
E,0.924,1,1,1,0.995
E,0.996,0.977,0.951,1,0.932
E,0.952,1,0.983,0.996,1
E,1,0.916,0.923,0.907,1
E,1,1,1,0.918,1
E,1,1,1,0.936,0.906
E,1,0.971,0.989,1,0.929
E,0.908,0.935,0.942,0.924,0.92
F,0.493,0.565,0.039,0.021,0.089
F,0.404,0.409,0,0.088,0
F,0.472,0.575,0.033,0.048,0.071
F,0.596,0.483,0.098,0,0
F,0.513,0.418,0,0.066,0.091
F,0.435,0.45,0.033,0,0.07
F,0.472,0.524,0.022,0,0
F,0.517,0.447,0.004,0,0.016
F,0.416,0.471,0,0.014,0.001
F,0.524,0.564,0.005,0.044,0
G,0,0.013,1,0.98,1
G,0.079,0,1,1,0.961
G,0,0,0.987,0.952,1
G,0.028,0.035,0.948,0.96,0.944
G,0,0.091,1,0.985,1
G,0,0.029,0.934,1,0.989
G,0.009,0.068,0.974,0.988,0.902
G,0.056,0.008,1,0.922,1
G,0.016,0,0.946,1,1
G,0,0,1,0.951,0.974
H,0.413,0.075,0.037,0.902,0.978
H,0.54,0.037,0.076,1,0.916
H,0.556,0,0,0.948,0.914
H,0.424,0.08,0,1,0.918
H,0.539,0.017,0.049,1,0.973
H,0.556,0,0,0.908,1
H,0.405,0,0.05,1,1
H,0.462,0.081,0,0.924,1
H,0.463,0.052,0,1,1
H,0.427,0,0,0.987,0.904
I,0.098,1,1,1,0
I,0.001,1,1,0.944,0
I,0,1,1,1,0.064
I,0,1,0.999,1,0
I,0.084,0.965,0.939,1,0.009
I,0,1,1,0.961,0
I,0.052,0.932,1,0.916,0.02
I,0.01,1,0.973,1,0.033
I,0,1,1,1,0
I,0,1,0.917,1,0
K,0,0.042,0,0.927,1
K,0,0.003,0,1,0.923
K,0,0.081,0.02,1,1
K,0.097,0.037,0,1,0.942
K,0,0.039,0,1,0.978
K,0.053,0.068,0.039,0.973,0.969
K,0,0.019,0.076,1,1
K,0,0,0,0.966,0.955
K,0,0,0.003,1,1
K,0,0.002,0,0.954,1
